This file was created by CMPT_ME_BEME_RETS using the 201402 CRSP database.
It contains value- and equal-weighted returns for the intersections of  2
ME portfolios and  3 BE/ME portfolios.   

The portfolios are constructed at the end of Jun.  ME is market cap at the end
of Jun.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
               Small                 Big         
          Low     2    High    Low     2    High 
195911   3.90   1.99   0.58   2.99  -0.14  -0.20
195912   3.51   2.44   2.08   2.97   2.57   4.26
196001  -5.82  -3.19  -3.03  -8.18  -4.38  -5.59
196002   2.04   1.42   0.55   1.36   2.18  -1.15
196003  -2.23  -2.55  -3.71  -0.88  -1.07  -5.14
196004   0.16  -2.19  -2.91  -1.54  -1.36  -3.18
196005   5.23   1.77   2.48   4.33   1.73  -0.37
196006   2.37   2.42   1.71   2.65   1.59   2.76
196007  -3.36  -1.85  -1.47  -3.52  -0.20  -1.28
196008   4.17   3.57   4.15   2.71   4.16   2.38
196009  -7.74  -5.85  -6.12  -6.75  -4.34  -5.18
196010  -6.47  -2.38  -2.80  -0.65   0.02   0.87
196011   6.47   5.01   2.97   5.44   3.97   4.04
196012   4.11   3.42   2.42   3.58   7.38   3.76
196101   7.38   7.76   9.70   4.86   7.87  10.03
196102   8.00   6.29   7.37   4.06   2.54   3.20
196103   7.32   4.79   5.87   2.19   4.03   2.18
196104   0.99   0.48   2.21  -0.33   1.16   2.50
196105   3.47   4.96   4.81   3.19   1.51   2.82
196106  -5.81  -4.53  -5.54  -2.27  -3.23  -2.99
196107  -0.45   1.25   1.31   3.11   3.60   1.11
196108   0.62   0.35   1.11   3.19   2.00   2.32
196109  -4.92  -3.16  -3.27  -1.14  -3.07  -3.78
196110  -0.09   3.28   0.28   2.28   3.98   3.13
196111   5.88   5.78   4.70   4.91   4.06   4.24
196112  -2.04   0.22   0.36  -0.21   0.34   1.79
196201  -2.39  -0.84   2.24  -5.02  -1.87   0.36
196202   0.63   0.76   1.80   1.86   2.38   2.49
196203  -0.45  -1.13  -0.54  -0.35  -0.31  -2.17
