Date,Open,High,Low,Close,Volume,Adj Close,
1/9/2009,87.05,87.5,84.25,84.7,7440300,76.88,
1/8/2009,87.81,88.14,85.98,87.18,7231800,79.13,
1/7/2009,87.83,88.8,87.12,87.79,8455100,79.68,
1/6/2009,87.11,90.41,86.37,89.23,9649500,80.99,
1/5/2009,86.42,87.67,86.18,86.82,8315700,78.8,
1/2/2009,83.89,87.59,83.89,87.37,7558200,79.3,
12/31/2008,83.5,85,83.5,84.16,6667700,76.39,
12/30/2008,81.83,83.64,81.52,83.55,5774400,75.84,
12/29/2008,81.72,81.72,79.68,81.25,6062600,73.75,
12/26/2008,80.93,81.8,80.55,81.33,3101300,73.82,
12/24/2008,80.55,81.22,79.92,80.52,2415200,73.09,
12/23/2008,82.35,82.81,80.13,80.6,6374400,73.16,
12/22/2008,83.27,83.45,80.32,81.99,7083300,74.42,
12/19/2008,85.22,85.22,82.97,83.52,13098600,75.81,
12/18/2008,85.77,86.64,82.96,84,8029500,76.24,
12/17/2008,85.44,87.27,84.66,85.84,8592000,77.91,
12/16/2008,83.11,86.84,82.87,86.4,11559800,78.42,
12/15/2008,82.51,83.54,80,82.77,8848200,75.13,
12/12/2008,78.68,82.94,78.06,82.2,10381700,74.61,
12/11/2008,81.5,82.86,79.77,80.58,10682400,73.14,
12/10/2008,83.95,84.99,81.83,82.86,8187000,75.21,
12/9/2008,83.82,85.43,82.2,82.69,9356400,75.06,
12/8/2008,82.57,85.88,81.73,84.86,11177600,77.03,
12/5/2008,76.78,81.5,75.31,80.59,11212000,73.15,
12/4/2008,80.03,80.83,76.18,77.44,10914000,70.29,
12/3/2008,78.62,81,76.99,80.67,9757800,73.22,
12/2/2008,77.8,80,76.14,79.84,9305200,72.47,
12/1/2008,80.95,81.36,76.79,76.9,10265000,69.8,
11/28/2008,81,81.9,80.1,81.6,3908300,74.07,
11/26/2008,79.52,81.79,78.61,81.67,8240600,74.13,
11/25/2008,81.37,82.4,78.22,80.65,12519700,73.2,
11/24/2008,75.74,82.09,75,79.89,15023200,72.51,
11/21/2008,72.74,76.98,69.5,74.88,19804500,67.97,
11/20/2008,75,78.39,70.51,71.74,17634700,65.12,
11/19/2008,79.93,81,75.73,75.97,12606400,68.96,
11/18/2008,79.13,80.93,77,80.08,13050600,72.69,
11/17/2008,79.4,79.74,77.16,77.48,10315300,70.33,
11/14/2008,82.63,85.4,79.5,80.33,12023700,72.91,
11/13/2008,79.62,84.39,75.4,84.21,15103600,76.44,
11/12/2008,80.73,82.4,79.57,79.74,11368400,72.38,
11/11/2008,83.25,84.29,80.25,82.74,10013600,75.1,
11/10/2008,87.99,88.1,82.74,83.87,9685100,76.13,
11/7/2008,85.78,86.71,84.25,86.27,7927800,78.31,
11/6/2008,87.68,88.83,84.28,85.15,12522000,77.29,
11/5/2008,92.93,93.4,89.7,89.94,8706200,81.18,
11/4/2008,94.76,94.76,92.07,93.4,10173000,84.31,
11/3/2008,92.64,94.67,92.17,92.68,7686300,83.66,
10/31/2008,90.9,94.19,89.03,92.97,10506300,83.92,
10/30/2008,91.01,92.4,88.9,90.69,12033800,81.86,
10/29/2008,87.74,91,86.25,88.2,12692000,79.61,
10/28/2008,81.4,87.61,79.52,87.28,14205900,78.78,
10/27/2008,80.27,84.5,79.01,79.66,11099100,71.9,
10/24/2008,79.27,84.31,78.82,82.07,12287300,74.08,
10/23/2008,84.09,85.89,81,84.35,12358000,76.14,
10/22/2008,87,87.59,80.8,83.6,14198100,75.46,
10/21/2008,92.22,92.46,88.57,88.86,9716400,80.21,
10/20/2008,92.21,93.31,89.33,92.51,9747100,83.5,
10/17/2008,91.75,95.91,87.71,90.78,15230700,81.94,
10/16/2008,89.38,92,84.35,91.52,16271300,82.61,
10/15/2008,92.77,95.29,87.71,88.29,11330800,79.69,
10/14/2008,96.42,99,92,93.6,15114200,84.49,
10/13/2008,90.44,93.61,86.95,92.21,17101600,83.23,
10/10/2008,87.41,91.66,83.51,87.75,24637400,79.21,
